Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,17.0,400.0,9.0e+11,5e+23,0.007985921015409611,5000000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,17.0,400.0,9.0e+11,5e+24,0.010799668833437689,2300000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,17.0,500.0,9.0e+11,1e+24,0.009727657564793202,2133333333333.3333
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,17.0,500.0,9.0e+11,1e+25,0.01284552226730431,2416666666666.6665
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,17.0,500.0,9.0e+11,5e+23,0.00935074488250912,2066666666666.6665
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,17.0,500.0,9.0e+11,5e+24,0.010909250147347982,6983333333333.333
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,18.0,300.0,9.0e+11,1e+24,0.007514137756594085,5000000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,18.0,300.0,9.0e+11,1e+25,0.009814579657783018,5083333333333.333
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,18.0,300.0,9.0e+11,5e+23,0.0059628775002223645,5000000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,18.0,300.0,9.0e+11,5e+24,0.01136996073114842,2300000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,18.0,400.0,9.0e+11,1e+24,0.007998229518925194,5000000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,18.0,400.0,9.0e+11,1e+25,0.011501880235012583,2383333333333.333
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,18.0,400.0,9.0e+11,5e+23,0.008552456747104427,2083333333333.3333
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,18.0,400.0,9.0e+11,5e+24,0.0100216200914992,1166666666666.6665
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,18.0,500.0,9.0e+11,1e+24,0.009167367586567788,2133333333333.3333
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,18.0,500.0,9.0e+11,1e+25,0.011450581526592176,2433333333333.333
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,18.0,500.0,9.0e+11,5e+23,0.00946298385341635,4183333333333.333
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,18.0,500.0,9.0e+11,5e+24,0.012097846128454959,2333333333333.333
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,19.0,300.0,9.0e+11,1e+24,0.006266446306419182,5000000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,19.0,300.0,9.0e+11,1e+25,0.011352068279161277,7116666666666.666
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,19.0,300.0,9.0e+11,5e+23,0.006667535745306283,5000000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,19.0,300.0,9.0e+11,5e+24,0.008806118465074187,5000000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,19.0,400.0,9.0e+11,1e+24,0.007705475269060963,5000000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,19.0,400.0,9.0e+11,1e+25,0.00982584299293761,1183333333333.3333
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,19.0,400.0,9.0e+11,5e+23,0.00794885114390758,5000000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,19.0,400.0,9.0e+11,5e+24,0.008124890939474397,5000000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,19.0,500.0,9.0e+11,1e+24,0.008700207779806974,5000000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,19.0,500.0,9.0e+11,1e+25,0.012514315436458194,4833333333333.333
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,19.0,500.0,9.0e+11,5e+23,0.009883963322592915,3016666666666.6665
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,19.0,500.0,9.0e+11,5e+24,0.011825191579722278,2333333333333.333
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,20.0,300.0,9.0e+11,1e+24,0.006896626552050319,5000000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,20.0,300.0,9.0e+11,1e+25,0.01058688659311691,4750000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,20.0,300.0,9.0e+11,5e+23,0.006705320457358082,5000000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,20.0,300.0,9.0e+11,5e+24,0.007348176246829048,1166666666666.6665
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,20.0,400.0,9.0e+11,1e+24,0.008270552154841406,2116666666666.6665
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,20.0,400.0,9.0e+11,1e+25,0.010452441484190162,1200000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,20.0,400.0,9.0e+11,5e+23,0.007774815818775364,5000000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,20.0,400.0,9.0e+11,5e+24,0.010151737420535635,2333333333333.333
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,20.0,500.0,9.0e+11,1e+24,0.010194120917312983,5000000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,20.0,500.0,9.0e+11,1e+25,0.0108368037866716,950000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,20.0,500.0,9.0e+11,5e+23,0.00830740873975219,2100000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
