Wo,Vds,Temp,Nd,Mod index
200,48,400,5e+23,0.018303946
200,48,400,1e+24,0.031767828
200,48,400,5e+24,0.321482333
200,48,400,1e+25,0.73785662
200,48,500,5e+23,0.019369529
200,48,500,1e+24,0.02668028
200,48,500,5e+24,0.106334934
200,48,500,1e+25,0.596695243
200,49,300,5e+23,0.017413145
200,49,300,1e+24,0.028056451
200,49,300,5e+24,0.188177057
200,49,300,1e+25,0.605374122
200,49,400,5e+23,0.020413048
200,49,400,1e+24,0.034277949
200,49,400,5e+24,0.214951209
200,49,400,1e+25,0.784530629
200,49,500,5e+23,0.020465321
200,49,500,1e+24,0.035186231
200,49,500,5e+24,0.281674138
200,49,500,1e+25,0.690292902
200,50,300,5e+23,0.015874179
200,50,300,1e+24,0.037281764
200,50,300,5e+24,0.345926482
200,50,300,1e+25,0.615196172
200,50,400,5e+23,0.017986777
200,50,400,1e+24,0.027741683
200,50,400,5e+24,0.265312919
200,50,400,1e+25,0.677221982
200,50,500,5e+23,0.019248603
200,50,500,1e+24,0.023822207
200,50,500,5e+24,0.253168391
200,50,500,1e+25,0.84741249
